property_name,address,borough,property_type,sqft,classification,has_steam_cooling,has_electric_cooling,has_monthly_data,steam_intensity,heating_baseline,steam_ratio_vs_baseline,steam_pct_of_total,summer_elec_increase_pct,cooling_intensity_kbtu_sqft,cooling_pct_of_elec,peak_month_cooling_kw,avg_summer_cooling_kw,num_cooling_towers,district_steam_kbtu,elec_kwh,bbl,bin,latitude,longitude
250 Vesey Street,250 VESEY STREET,MANHATTAN,Office,2025102,BOTH,True,True,True,21.3,14.0,1.53,24.8,32.4,5.8,9.5,4024,2972,3,43210193,36213895,1000160150,1000060,40.714529,-74.015677
Deutsche Bank Center,10 Columbus Circle,MANHATTAN,Mixed Use Property,2598958,BOTH,True,True,True,52.2,26.3,1.98,42.0,20.2,2.2,3.3,3683,1877,1,135623459,49784698,1010497501,1026318,40.768274,-73.98231
3 Bryant Park,1095 6th Avenue,MANHATTAN,Office,1216578,BOTH,True,True,True,26.9,14.0,1.93,23.0,32.8,8.4,9.3,3615,2548,2,32724899,31068859,1-00994-7501,1087119,40.754688,-73.984241
1515 Broadway,1515 Broadway,MANHATTAN,Office,1932895,BOTH,True,True,True,39.8,14.0,2.85,44.4,38.1,5.2,10.6,3562,2479,1,76887008,27631664,1010160036,1024714,40.757636,-73.985804
601 Lexington Avenue,601 Lexington Avenue,MANHATTAN,Office,1707488,BOTH,True,True,True,22.9,14.0,1.64,30.0,41.0,5.0,10.3,3366,2346,1,39044994,25035499,1-01308-7501,1036474,40.758465,-73.970914
(71003A) Herald Square Macy's,441 7th Ave,MANHATTAN,Retail Store,2192088,BOTH,True,True,True,22.9,11.2,2.04,33.0,29.4,2.9,6.3,3052,1947,1,50118356,29284761,1008100001,1015219,40.751038,-73.990576
157 West 57th Street,157 West 57th Street,MANHATTAN,Multifamily Housing,844182,BOTH,True,True,True,69.9,30.8,2.27,53.7,66.3,9.6,16.5,3000,2171,1,58995981,14371971,1010107506,1088565,40.765205,-73.979279
383 Madison (375 MADISON AVE),375 MADISON AVENUE,MANHATTAN,Financial Office,1238330,BOTH,True,True,True,36.0,20.1,1.79,30.8,28.1,5.3,6.7,2846,1668,6,44580067,28715729,1012820021,1035404,40.755257,-73.977477
Benchmarking Group - 1,1 Centre St,MANHATTAN,Office,1505431,BOTH,True,True,True,34.3,14.0,2.45,49.5,55.8,4.7,13.4,2844,2041,0,51629228,15111659,1001210001; 1001220001; 1001530024,1001394; 1079147; 1079146; 1001670,40.713001,-74.004181
Hammer Health Sciences Center LL-97,1 Haven Ave; 701 W 168 Street,,Laboratory,328186,BOTH,True,True,True,445.8,89.9,4.96,65.1,41.9,23.6,11.5,2771,2158,1,146290309,19672350,1021390051,1063402,,
ConEd Irving Place,2 Irving Place,MANHATTAN,Office,1255204,BOTH,True,True,True,49.1,14.0,3.52,46.8,39.8,6.2,11.2,2738,2008,4,61670077,20582051,1008700024,1084936,40.734064,-73.988695
28 Liberty,28 Liberty St,MANHATTAN,Office,2200000,BOTH,True,True,True,39.3,14.0,2.81,45.6,25.4,1.9,4.3,2674,1396,1,86352746,29942433,1-00044-0001,1001021,40.708115,-74.008768
1251 Avenue of the Americas,1251 Avenue of the Americas,MANHATTAN,Office,2325598,BOTH,True,True,True,24.6,14.0,1.76,37.3,25.8,1.8,4.3,2656,1380,1,57153649,28152800,1010027501,1022706,40.759644,-73.980627
